model,feature,mean_abs_attribution,rank
CatBoost,total_il_high_credit_limit,0.03672081258916145,31
CatBoost,mort_acc,0.03477523216035325,32
CatBoost,credit_history_months,0.032398859975900904,33
CatBoost,pct_tl_nvr_dlq,0.02729204658902997,34
CatBoost,total_rev_hi_lim,0.02550728625976731,35
CatBoost,mo_sin_old_il_acct,0.02232646537615925,36
CatBoost,num_rev_accts,0.020131464168676144,37
CatBoost,num_actv_bc_tl,0.016354683381430906,38
CatBoost,avg_cur_bal,0.016342450843715096,39
CatBoost,num_bc_sats,0.014122212423393083,40
CatBoost,tot_cur_bal,0.012352811097552848,41
CatBoost,num_accts_ever_120_pd,0.011952487414354857,42
CatBoost,total_bal_ex_mort,0.011630081154088935,43
CatBoost,num_actv_rev_tl,0.010694047133267963,44
CatBoost,initial_list_status,0.006742965732157179,45
CatBoost,num_op_rev_tl,0.00655717415741504,46
CatBoost,pub_rec,0.006482633043335298,47
CatBoost,num_bc_tl,0.005539362689674922,48
CatBoost,pub_rec_bankruptcies,0.005172670559597459,49
CatBoost,num_sats,0.0029395535795760075,50
CatBoost,collections_12_mths_ex_med,0.002887805763000343,51
CatBoost,tot_coll_amt,0.002551447893934463,52
CatBoost,open_acc,0.0023842508529479806,53
CatBoost,application_type,0.0008967621579875127,54
CatBoost,num_tl_90g_dpd_24m,0.0008300506260675145,55
CatBoost,delinq_amnt,0.0007245228150243787,56
CatBoost,tax_liens,0.0002751257219522299,57
CatBoost,chargeoff_within_12_mths,0.00017772241752979552,58
CatBoost,num_tl_30dpd,0.00016910077389072347,59
CatBoost,acc_now_delinq,6.952393736867246e-05,60
CatBoost,disbursement_method,0.0,61
CatBoost,num_tl_120dpd_2m,0.0,62
