dataset,model,roi,emp,eta,prior_default_frozen,baseline_roi
lending_club,XGBoost,0.1,0.029742758162310902,0.23229982440164718,0.1996497194038726,0.1323973032110603
lending_club,XGBoost,0.15,0.022521803892617556,0.1749071663084483,0.1996497194038726,0.1323973032110603
lending_club,XGBoost,0.2,0.017345212157541867,0.1319607653450856,0.1996497194038726,0.1323973032110603
lending_club,XGBoost,0.25,0.013567809390968188,0.10115168301261387,0.1996497194038726,0.1323973032110603
lending_club,XGBoost,0.3,0.01069415380917953,0.07780990987664715,0.1996497194038726,0.1323973032110603
lending_club,XGBoost,0.35,0.00862042998003799,0.06189900553441838,0.1996497194038726,0.1323973032110603
lending_club,XGBoost,0.4,0.007018455904641906,0.04980570632389249,0.1996497194038726,0.1323973032110603
lending_club,XGBoost,0.45,0.005756087270274867,0.03999827104037346,0.1996497194038726,0.1323973032110603
lending_club,XGBoost,0.5,0.004762530717450772,0.03226703131234905,0.1996497194038726,0.1323973032110603
lending_club,CatBoost,0.1,0.02977516674207613,0.2352863618269538,0.1996497194038726,0.1323973032110603
lending_club,CatBoost,0.15,0.02254840855346937,0.17630126619412378,0.1996497194038726,0.1323973032110603
lending_club,CatBoost,0.2,0.017379756863465597,0.13178985801068083,0.1996497194038726,0.1323973032110603
lending_club,CatBoost,0.25,0.013576929975721198,0.10318196704390697,0.1996497194038726,0.1323973032110603
lending_club,CatBoost,0.3,0.010709639456329786,0.0784701869217938,0.1996497194038726,0.1323973032110603
lending_club,CatBoost,0.35,0.00860918515902006,0.060160268762238706,0.1996497194038726,0.1323973032110603
lending_club,CatBoost,0.4,0.007033258830129767,0.04939556017542116,0.1996497194038726,0.1323973032110603
lending_club,CatBoost,0.45,0.005769569969136264,0.042025991158791715,0.1996497194038726,0.1323973032110603
lending_club,CatBoost,0.5,0.004806538533100459,0.0311881960322372,0.1996497194038726,0.1323973032110603
